,movie,B2_freq,A2_freq,A1_freq,B1_freq,C1_freq,B2_rate,A2_rate,A1_rate,B1_rate,C1_rate,qty,ne,avg_length,level
245,The_lion_king(1994),0.0658,0.1482,0.303,0.067,0.0319,0.0878,0.139,0.1902,0.0854,0.0431,3449.0,0.0116,2.1,A2
246,The_lord_of_the_rings(2001),0.0874,0.1407,0.2459,0.0628,0.0249,0.0962,0.1246,0.157,0.0762,0.0429,5652.0,0.018,2.2,B1
247,The_man_called_Flintstone(1966),0.0705,0.1093,0.2923,0.0596,0.0362,0.0969,0.1464,0.224,0.0883,0.0316,4896.0,0.011,1.6,A2
248,The_secret_life_of_Walter_Mitty(2013),0.0738,0.1389,0.3708,0.0738,0.0232,0.1027,0.1484,0.2391,0.0877,0.0367,4175.0,0.0079,1.9,B1
249,The_Shawshank_redemption(1994),0.0761,0.1369,0.3244,0.0946,0.0398,0.1024,0.1401,0.1918,0.1106,0.0459,6086.0,0.012,2.0,B1
250,The_social_network(2010),0.0735,0.1451,0.3282,0.077,0.0294,0.1202,0.1375,0.1925,0.0917,0.0398,8141.0,0.0109,1.8,B2
251,The_terminal(2004),0.066,0.1425,0.346,0.063,0.0291,0.0955,0.1409,0.2263,0.0888,0.0454,4743.0,0.0158,1.9,B1
252,The_terminal(2004),0.066,0.1425,0.346,0.063,0.0291,0.0955,0.1409,0.2263,0.0888,0.0454,4743.0,0.0158,1.9,A2
253,The_terminator(1984),0.0915,0.1494,0.2821,0.0742,0.0341,0.1115,0.1523,0.2208,0.0916,0.0464,1847.0,0.013,2.8,B1
254,The_theory_of_everything(2014),0.0668,0.1384,0.3175,0.0753,0.0406,0.1029,0.1662,0.2294,0.0938,0.0465,3547.0,0.0155,2.3,B2
255,The_usual_suspects(1995),0.0659,0.124,0.2989,0.0795,0.0383,0.1027,0.1351,0.204,0.1013,0.0503,4413.0,0.0116,1.8,B2
256,Titanic(1997),0.1081,0.1447,0.3018,0.0795,0.024,0.1132,0.1445,0.1929,0.0972,0.0452,6163.0,0.0084,1.8,B2
257,Toy_story(1995),0.0781,0.1414,0.3049,0.0706,0.0323,0.1024,0.1476,0.2024,0.104,0.0484,3841.0,0.0073,1.9,A2
258,Twilight(2008),0.0727,0.1451,0.3538,0.0994,0.0275,0.1009,0.1588,0.2493,0.0987,0.0386,4225.0,0.009,1.9,A2
